,collection size,mdm feasibility,mnl feasiblity,mdm runtime,mnl runtime
0,100,0.992,0.0,0.002123502492904663,0.029202308654785156
1,200,0.967,0.0,0.006038230895996094,0.04792793726921082
2,300,0.902,0.0,0.011271880865097046,0.06885491180419921
3,400,0.807,0.0,0.01740161657333374,0.08628467988967896
4,500,0.708,0.0,0.022615365505218504,0.09740830111503601
5,600,0.558,0.0,0.02999070620536804,0.11426348280906677
6,700,0.396,0.0,0.038349029302597044,0.13815389752388
7,800,0.286,0.0,0.04918611478805542,0.15453154730796814
8,900,0.172,0.0,0.05495470857620239,0.16696516036987305
9,1000,0.103,0.0,0.06752676653862,0.19041106963157653
