,collection size,mdm feasibility,mnl feasiblity,mdm runtime,mnl runtime
0,100,0.976,0.0,0.0022120044231414794,0.030056885719299316
1,200,0.855,0.0,0.0059538111686706545,0.04704465675354004
2,300,0.617,0.0,0.010894185304641724,0.06369716238975524
3,400,0.353,0.0,0.01699534249305725,0.08274685645103455
4,500,0.175,0.0,0.025149303436279295,0.09983122205734253
5,600,0.054,0.0,0.03303127336502075,0.12250673818588256
6,700,0.017,0.0,0.04278400540351868,0.14040095019340515
7,800,0.001,0.0,0.052556422472000125,0.16381154108047485
8,900,0.0,0.0,0.059467211484909056,0.17806137132644653
9,1000,0.0,0.0,0.07348381686210632,0.206860759973526
