,collection size,mdm feasibility,mnl feasiblity,mdm runtime,mnl runtime
0,100,0.925,0.0,0.002216744422912598,0.03088786053657532
1,200,0.644,0.0,0.006140588283538818,0.04770367026329041
2,300,0.271,0.0,0.012398164749145507,0.06707103943824769
3,400,0.053,0.0,0.018564846754074098,0.08660251426696777
4,500,0.005,0.0,0.024706979513168335,0.10017017269134522
5,600,0.0,0.0,0.03493442368507385,0.12537152767181398
6,700,0.0,0.0,0.041596279382705686,0.1353442084789276
7,800,0.0,0.0,0.04818308568000793,0.1519450373649597
8,900,0.0,0.0,0.06183046984672547,0.18212972831726074
9,1000,0.0,0.0,0.07173210382461548,0.20426252388954164
