,collection size,mdm feasibility,mnl feasiblity,mdm runtime,mnl runtime
0,100,0.99,0.0,0.002056128740310669,0.028654090404510498
1,200,0.955,0.0,0.00567112421989441,0.04648191666603088
2,300,0.908,0.0,0.010332372903823852,0.06313493657112122
3,400,0.827,0.0,0.016864084959030152,0.0858002576828003
4,500,0.769,0.0,0.022365586042404174,0.0986413881778717
5,600,0.656,0.0,0.030683404684066773,0.12543876385688782
6,700,0.571,0.0,0.03913992953300476,0.14395229840278626
7,800,0.44,0.0,0.0462895348072052,0.16058400774002074
8,900,0.387,0.0,0.052113710403442384,0.17065061569213869
9,1000,0.297,0.0,0.06679602670669556,0.19753812170028687
