,collection size,mdm feasibility,mnl feasiblity,mdm runtime,mnl runtime
0,100,0.985,0.0,0.0021779980659484863,0.03045253586769104
1,200,0.94,0.0,0.006004005432128906,0.04919440889358521
2,300,0.874,0.0,0.010189666032791138,0.06154404163360596
3,400,0.79,0.0,0.017189934253692626,0.08311723661422729
4,500,0.716,0.0,0.023891277551651,0.09993634796142578
5,600,0.598,0.0,0.028499356269836428,0.11515571665763855
6,700,0.504,0.0,0.037121492862701416,0.13277180457115173
7,800,0.368,0.0,0.043090940952301024,0.1491049349308014
8,900,0.293,0.0,0.052550928115844726,0.16880120992660522
9,1000,0.212,0.0,0.06248556971549988,0.19411123275756836
