,collection size,mdm feasibility,mnl feasiblity,mdm runtime,mnl runtime
0,100,0.949,0.0,0.002094628095626831,0.028546294212341308
1,200,0.742,0.0,0.00594913911819458,0.047490201473236085
2,300,0.424,0.0,0.011114140033721924,0.06535101747512817
3,400,0.121,0.0,0.01837525749206543,0.08361275029182434
4,500,0.027,0.0,0.025041310787200927,0.10186058211326598
5,600,0.001,0.0,0.034044761896133424,0.12166409587860108
6,700,0.0,0.0,0.04096272110939026,0.1386707661151886
7,800,0.0,0.0,0.0504960150718689,0.15550709271430968
8,900,0.0,0.0,0.059284810543060305,0.17129211115837098
9,1000,0.0,0.0,0.06762752294540406,0.19721861910820007
